Player_Name,Player_LastName,Club,Position,Foot,known_name
Luca,Pellegrini ,JUVENTUS,Left-Back,left,PELLEGRINI LU.
Mattia,Perin ,JUVENTUS,Goalkeeper,right,PERIN M.
Carlo,Pinsoglio ,JUVENTUS,Goalkeeper,left,PINSOGLIO C.
Adrien,Rabiot ,JUVENTUS,Central Midfield,left,RABIOT A.
Aaron,Ramsey ,JUVENTUS,Central Midfield,right,RAMSEY A.
Daniele,Rugani ,JUVENTUS,Centre-Back,right,RUGANI D.
MatIas,SoulE' ,JUVENTUS,Right Winger,left,SOULE' M.
Wojciech,Szczesny ,JUVENTUS,Goalkeeper,right,SZCZESNY W.
Denis,Zakaria ,JUVENTUS,Defensive Midfield,right,ZAKARIA D.
Francesco,Acerbi ,LAZIO,Centre-Back,left,ACERBI F.
Jean-Daniel,Akpa Akpro,LAZIO,Central Midfield,right,AKPA AKPRO J. D.
AndrE',Anderson ,LAZIO,Attacking Midfield,right,ANDERSON A.
Toma,Basic ,LAZIO,Central Midfield,left,BASIC T.
Danilo,Cataldi ,LAZIO,Defensive Midfield,right,CATALDI D.
Gonzalo,Escalante ,LAZIO,Central Midfield,right,ESCALANTE G.
Felipe,Anderson ,LAZIO,Right Winger,right,FELIPE ANDERSON
Elseid,Hysaj ,LAZIO,Right-Back,right,HYSAJ E.
Ciro,Immobile ,LAZIO,Centre-Forward,right,IMMOBILE C.
Jovane,Cabral ,LAZIO,Left Winger,right,JOVANE CABRAL
Dimitrije,Kamenovic ,LAZIO,Left-Back,left,KAMENOVIC D.
Manuel,Lazzari  ,LAZIO,Right-Back,right,LAZZARI M.
Lucas,Leiva ,LAZIO,Defensive Midfield,right,LUCAS LEIVA
Luis,Alberto ,LAZIO,Central Midfield,right,LUIS ALBERTO
Luiz,Felipe ,LAZIO,Centre-Back,right,LUIZ FELIPE
Adam,Marusic ,LAZIO,Right-Back,right,MARUSIC A.
Sergej,MilinkoviC-SaviC ,LAZIO,Central Midfield,right,MILINKOVIC-SAVIC S.
Raúl,Moro ,LAZIO,Left Winger,right,MORO R.
Vedat,Muriqi ,LAZIO,Centre-Forward,left,MURIQI V.
Patric ,Patric ,LAZIO,Centre-Back,right,PATRIC
Pedro,Pedro,LAZIO,Right Winger,both,PEDRO
Stefan,Radu ,LAZIO,Centre-Back,left,RADU S.
Pepe,Reina ,LAZIO,Goalkeeper,right,REINA P.
