,Player_Name,Player_LastName,Club,Position,Foot,known_name,sics_id,opta_id,sc_id,first_name,last_name,born_date
68,Nicolas,Viola ,BOLOGNA,Central Midfield,left,VIOLA N.,5893,40364,8040,NICOLAS,VIOLA,1989-10-12
69,Giorgio,Altare ,CAGLIARI,Centre-Back,right,ALTARE G.,19633,423902,63460,GIORGIO,ALTARE,1998-08-09
70,Daniele,Baselli ,CAGLIARI,Central Midfield,right,BASELLI D.,6462,102195,14099,DANIELE,BASELLI,1992-03-12
71,Raoul,Bellanova ,CAGLIARI,Right-Back,right,BELLANOVA R.,15991,209330,23118,RAOUL,BELLANOVA,2000-05-17
72,MartIn,CAceres ,CAGLIARI,Centre-Back,right,CACERES M.,6113,43693,7036,MARTIN,CACERES,1987-04-07
73,Andrea,Carboni ,CAGLIARI,Centre-Back,left,CARBONI A.,23486,501395,24671,ANDREA,CARBONI,2001-02-04
74,Luca,Ceppitelli ,CAGLIARI,Centre-Back,both,CEPPITELLI L.,6428,60849,6323,LUCA,CEPPITELLI,1989-08-11
75,Damir,Ceter ,CAGLIARI,Centre-Forward,right,CETER D.,15874,244715,27546,DAMIR,CETER,1997-11-02
76,Alessio,Cragno ,CAGLIARI,Goalkeeper,right,CRAGNO A.,6425,105133,477,ALESSIO,CRAGNO,1994-06-28
77,Dalbert ,Dalbert ,CAGLIARI,Left-Back,left,DALBERT H.,13729,212752,2103,HENRIQUE,DALBERT CHAGAS ESTEVAO,1993-09-08
78,Alessandro,Deiola ,CAGLIARI,Central Midfield,right,DEIOLA A.,8685,162330,19037,ALESSANDRO,DEIOLA,1995-08-01
79,Paolo,FaragO' ,CAGLIARI,Central Midfield,right,FARAGO' P.,8696,123309,11657,PAOLO,FARAGO',1993-02-12
80,Diego,Farias ,CAGLIARI,Left Winger,right,FARIAS D.,6439,55654,2702,DIEGO,FARIAS,1990-05-10
81,Luca,Gagliano ,CAGLIARI,Centre-Forward,left,GAGLIANO L.,15711,439929,24717,LUCA,GAGLIANO,2000-07-14
82,Diego,GodIn ,CAGLIARI,Centre-Back,right,GODIN D.,7663,32281,2705,DIEGO,GODIN,1986-02-16
83,Edoardo,Goldaniga  ,CAGLIARI,Centre-Back,right,GOLDANIGA E.,6772,147614,2948,EDOARDO,GOLDANIGA,1993-11-02
84,Alberto,Grassi ,CAGLIARI,Central Midfield,right,GRASSI A.,6474,195516,375,ALBERTO,GRASSI,1995-03-07
85,JoAo,Pedro  ,CAGLIARI,Centre-Forward,right,JOAO PEDRO,6443,88340,5078,JOAO,PEDRO,1992-03-09
86,Keita,BaldE'  ,CAGLIARI,Centre-Forward,both,KEITA B.,6164,156708,1171,BALDE DIAO,KEITA,1995-03-08
87,Christos,Kourfalidis ,CAGLIARI,Central Midfield,right,KOURFALIDIS C.,29790,564149,106779,CHRISTOS,KOURFALIDIS,2002-11-11
88,Charalampos,Lykogiannis ,CAGLIARI,Left-Back,left,LYKOGIANNIS C.,15875,111515,11654,CHARALAMPOS,LYKOGIANNIS,1993-10-22
89,Razvan,Marin ,CAGLIARI,Central Midfield,right,MARIN R.,18555,163632,13057,RAZVAN,MARIN,1996-05-23
